black-and-tan_coonhound,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,coonhound,black-and-tan_coonhound,
papillon,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,toy_dog,toy_spaniel,papillon,,
skunk,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,musteline_mammal,skunk,,,,,
Staffordshire_bullterrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,bullterrier,staffordshire_bullterrier,
Mexican_hairless,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,mexican_hairless,,,,
Bouvier_des_Flandres,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,bouvier_des_flandres,,
weasel,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,musteline_mammal,weasel,,,,,
miniature_poodle,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,poodle,miniature_poodle,,,
Cardigan,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,corgi,cardigan,,,
malinois,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,belgian_sheepdog,malinois,
tiger_cat,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,feline,cat,domestic_cat,tiger_cat,,,
Lhasa,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,lhasa,,
coyote,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,wolf,coyote,,,,
Yorkshire_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,yorkshire_terrier,,
Newfoundland,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,newfoundland,,,,
brown_bear,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,bear,brown_bear,,,,,
red_fox,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,fox,red_fox,,,,
Norwegian_elkhound,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,norwegian_elkhound,,
Rottweiler,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,rottweiler,,
Saluki,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,saluki,,
grey_fox,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,fox,grey_fox,,,,
schipperke,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,watchdog,schipperke,,
Pekinese,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,toy_dog,pekinese,,,
Brabancon_griffon,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,griffon,brabancon_griffon,,,
West_Highland_white_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,west_highland_white_terrier,,
Sealyham_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,wirehair,welsh_terrier,sealyham_terrier
mongoose,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,viverrine,mongoose,,,,,
tiger,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,feline,big_cat,tiger,,,,
Irish_wolfhound,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,wolfhound,irish_wolfhound,
EntleBucher,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,sennenhunde,entlebucher,,
French_bulldog,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,bulldog,french_bulldog,,
basenji,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,basenji,,,,
leopard,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,feline,big_cat,leopard,,,,
Bernese_mountain_dog,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,sennenhunde,bernese_mountain_dog,,
Maltese_dog,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,toy_dog,maltese_dog,,,
Norfolk_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,norfolk_terrier,,
toy_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,toy_dog,toy_terrier,,,
vizsla,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,sporting_dog,pointer,vizsla,
cairn,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,cairn,,
groenendael,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,belgian_sheepdog,groenendael,
clumber,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,sporting_dog,spaniel,clumber,
Siamese_cat,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,feline,cat,domestic_cat,siamese_cat,,,
komondor,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,komondor,,
Afghan_hound,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,afghan_hound,,
Japanese_spaniel,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,toy_dog,japanese_spaniel,,,
white_wolf,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,wolf,white_wolf,,,,
ice_bear,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,bear,ice_bear,,,,,
borzoi,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,wolfhound,borzoi,
toy_poodle,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,poodle,toy_poodle,,,
Kerry_blue_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,kerry_blue_terrier,,
Scotch_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,scotch_terrier,,
Tibetan_mastiff,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,mastiff,tibetan_mastiff,,
Doberman,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,watchdog,pinscher,doberman,
Boston_bull,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,boston_bull,,
Greater_Swiss_Mountain_dog,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,sennenhunde,greater_swiss_mountain_dog,,
Appenzeller,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,sennenhunde,appenzeller,,
Shih-Tzu,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,toy_dog,shih-tzu,,,
Irish_water_spaniel,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,sporting_dog,spaniel,water_spaniel,irish_water_spaniel
Pomeranian,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,spitz,pomeranian,,,
Bedlington_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,bedlington_terrier,,
miniature_schnauzer,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,schnauzer,miniature_schnauzer,
collie,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,collie,,
golden_retriever,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,sporting_dog,retriever,golden_retriever,
Irish_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,irish_terrier,,
affenpinscher,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,watchdog,pinscher,affenpinscher,
Border_collie,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,shepherd_dog,border_collie,,
boxer,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,working_dog,boxer,,,
silky_terrier,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,terrier,silky_terrier,,
beagle,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,hunting_dog,hound,beagle,,
Leonberg,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,mammal,placental,carnivore,canine,dog,leonberg,,,,
